timestamp,cpu_percent
1718192597.794981,"[0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192598.8067036,"[10.8, 0.0, 0.0, 1.6, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192599.8167026,"[3.1, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192600.825555,"[6.2, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192601.8385541,"[3.1, 0.0, 0.0, 0.0, 100.0, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192602.8517194,"[9.1, 0.0, 0.0, 0.0, 61.5, 40.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0]"
1718192603.8627188,"[12.1, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192604.8726408,"[6.2, 0.0, 0.0, 0.0, 1.5, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192605.87864,"[0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192606.8853145,"[4.7, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192607.897314,"[4.6, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 3.0, 0.0, 0.0, 0.0]"
1718192608.9054294,"[16.7, 0.0, 0.0, 0.0, 0.0, 100.0, 1.5, 0.0, 3.1, 4.5, 0.0, 1.5]"
1718192609.9194283,"[1.5, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192610.9305205,"[4.7, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192611.9405196,"[1.5, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192612.953598,"[4.6, 1.5, 0.0, 0.0, 1.5, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192613.962597,"[7.8, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192614.975051,"[7.6, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192615.9851177,"[7.5, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1718192616.9961154,"[4.5, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
